event,agent,agent_type,patient,patient_type,action,event_type,event_file_name
girl_plant_push,girl,human,plant,object,push,nonreversible,girl_plant_push.png
girl_plant_prod,girl,human,plant,object,prod,nonreversible,girl_plant_prod.png
girl_plant_kick,girl,human,plant,object,kick,nonreversible,girl_plant_kick.png
girl_plant_elbow,girl,human,plant,object,elbow,nonreversible,girl_plant_elbow.png
girl_boy_push,girl,human,boy,human,push,reversible,girl_boy_push.png
girl_boy_prod,girl,human,boy,human,prod,reversible,girl_boy_prod.png
girl_boy_kick,girl,human,boy,human,kick,reversible,girl_boy_kick.png
girl_boy_elbow,girl,human,boy,human,elbow,reversible,girl_boy_elbow.png
girl_feeder_push,girl,human,feeder,object,push,nonreversible,girl_feeder_push.png
girl_feeder_prod,girl,human,feeder,object,prod,nonreversible,girl_feeder_prod.png
girl_feeder_kick,girl,human,feeder,object,kick,nonreversible,girl_feeder_kick.png
girl_feeder_elbow,girl,human,feeder,object,elbow,nonreversible,girl_feeder_elbow.png
boy_plant_push,boy,human,plant,object,push,nonreversible,boy_plant_push.png
boy_plant_prod,boy,human,plant,object,prod,nonreversible,boy_plant_prod.png
boy_plant_kick,boy,human,plant,object,kick,nonreversible,boy_plant_kick.png
boy_plant_elbow,boy,human,plant,object,elbow,nonreversible,boy_plant_elbow.png
boy_girl_push,boy,human,girl,human,push,reversible,boy_girl_push.png
boy_girl_prod,boy,human,girl,human,prod,reversible,boy_girl_prod.png
boy_girl_kick,boy,human,girl,human,kick,reversible,boy_girl_kick.png
boy_girl_elbow,boy,human,girl,human,elbow,reversible,boy_girl_elbow.png
boy_feeder_push,boy,human,feeder,object,push,nonreversible,boy_feeder_push.png
boy_feeder_prod,boy,human,feeder,object,prod,nonreversible,boy_feeder_prod.png
boy_feeder_kick,boy,human,feeder,object,kick,nonreversible,boy_feeder_kick.png
boy_feeder_elbow,boy,human,feeder,object,elbow,nonreversible,boy_feeder_elbow.png
boy_clock_kick,boy,human,clock,object,kick,nonreversible,boy_clock_kick.png
girl_clock_kick,girl,human,clock,object,kick,nonreversible,girl_clock_kick.png
boy_clock_push,boy,human,clock,object,push,nonreversible,boy_clock_push.png
girl_clock_push,girl,human,clock,object,push,nonreversible,girl_clock_push.png
boy_clock_prod,boy,human,clock,object,prod,nonreversible,boy_clock_prod.png
girl_clock_prod,girl,human,clock,object,prod,nonreversible,girl_clock_prod.png
boy_clock_elbow,boy,human,clock,object,elbow,nonreversible,boy_clock_elbow.png
girl_clock_elbow,girl,human,clock,object,elbow,nonreversible,girl_clock_elbow.png
gran_girl_kick,gran,human,girl,human,kick,reversible,gran_girl_kick.png
gran_girl_push,gran,human,girl,human,push,reversible,gran_girl_push.png
gran_girl_elbow,gran,human,girl,human,elbow,reversible,gran_girl_elbow.png
gran_girl_prod,gran,human,girl,human,prod,reversible,gran_girl_prod.png
gran_boy_kick,gran,human,boy,human,kick,reversible,gran_boy_kick.png
gran_boy_push,gran,human,boy,human,push,reversible,gran_boy_push.png
gran_boy_elbow,gran,human,boy,human,elbow,reversible,gran_boy_elbow.png
gran_boy_prod,gran,human,boy,human,prod,reversible,gran_boy_prod.png
gran_granpa_kick,gran,human,granpa,human,kick,reversible,gran_granpa_kick.png
gran_granpa_push,gran,human,granpa,human,push,reversible,gran_granpa_push.png
gran_granpa_elbow,gran,human,granpa,human,elbow,reversible,gran_granpa_elbow.png
gran_granpa_prod,gran,human,granpa,human,prod,reversible,gran_granpa_prod.png
gran_plant_kick,gran,human,plant,object,kick,nonreversible,gran_plant_kick.png
gran_plant_push,gran,human,plant,object,push,nonreversible,gran_plant_push.png
gran_plant_elbow,gran,human,plant,object,elbow,nonreversible,gran_plant_elbow.png
gran_plant_prod,gran,human,plant,object,prod,nonreversible,gran_plant_prod.png
gran_clock_kick,gran,human,clock,object,kick,nonreversible,gran_clock_kick.png
gran_clock_push,gran,human,clock,object,push,nonreversible,gran_clock_push.png
gran_clock_elbow,gran,human,clock,object,elbow,nonreversible,gran_clock_elbow.png
gran_clock_prod,gran,human,clock,object,prod,nonreversible,gran_clock_prod.png
gran_feeder_kick,gran,human,feeder,object,kick,nonreversible,gran_feeder_kick.png
gran_feeder_push,gran,human,feeder,object,push,nonreversible,gran_feeder_push.png
gran_feeder_elbow,gran,human,feeder,object,elbow,nonreversible,gran_feeder_elbow.png
gran_feeder_prod,gran,human,feeder,object,prod,nonreversible,gran_feeder_prod.png
granpa_girl_kick,granpa,human,girl,human,kick,reversible,granpa_girl_kick.png
granpa_girl_push,granpa,human,girl,human,push,reversible,granpa_girl_push.png
granpa_girl_elbow,granpa,human,girl,human,elbow,reversible,granpa_girl_elbow.png
granpa_girl_prod,granpa,human,girl,human,prod,reversible,granpa_girl_prod.png
granpa_boy_kick,granpa,human,boy,human,kick,reversible,granpa_boy_kick.png
granpa_boy_push,granpa,human,boy,human,push,reversible,granpa_boy_push.png
granpa_boy_elbow,granpa,human,boy,human,elbow,reversible,granpa_boy_elbow.png
granpa_boy_prod,granpa,human,boy,human,prod,reversible,granpa_boy_prod.png
granpa_gran_kick,granpa,human,gran,human,kick,reversible,granpa_gran_kick.png
granpa_gran_push,granpa,human,gran,human,push,reversible,granpa_gran_push.png
granpa_gran_elbow,granpa,human,gran,human,elbow,reversible,granpa_gran_elbow.png
granpa_gran_prod,granpa,human,gran,human,prod,reversible,granpa_gran_prod.png
granpa_plant_kick,granpa,human,plant,object,kick,nonreversible,granpa_plant_kick.png
granpa_plant_push,granpa,human,plant,object,push,nonreversible,granpa_plant_push.png
granpa_plant_elbow,granpa,human,plant,object,elbow,nonreversible,granpa_plant_elbow.png
granpa_plant_prod,granpa,human,plant,object,prod,nonreversible,granpa_plant_prod.png
granpa_clock_kick,granpa,human,clock,object,kick,nonreversible,granpa_clock_kick.png
granpa_clock_push,granpa,human,clock,object,push,nonreversible,granpa_clock_push.png
granpa_clock_elbow,granpa,human,clock,object,elbow,nonreversible,granpa_clock_elbow.png
granpa_clock_prod,granpa,human,clock,object,prod,nonreversible,granpa_clock_prod.png
granpa_feeder_kick,granpa,human,feeder,object,kick,nonreversible,granpa_feeder_kick.png
granpa_feeder_push,granpa,human,feeder,object,push,nonreversible,granpa_feeder_push.png
granpa_feeder_elbow,granpa,human,feeder,object,elbow,nonreversible,granpa_feeder_elbow.png
granpa_feeder_prod,granpa,human,feeder,object,prod,nonreversible,granpa_feeder_prod.png
girl_gran_kick,girl,human,gran,human,kick,reversible,girl_gran_kick.png
girl_gran_push,girl,human,gran,human,push,reversible,girl_gran_push.png
girl_gran_elbow,girl,human,gran,human,elbow,reversible,girl_gran_elbow.png
girl_gran_prod,girl,human,gran,human,prod,reversible,girl_gran_prod.png
